Epoch,Total Training Time,Total Validation Time,Weight Optimization Time,Latent Optimization Time
1,20.5931293964386,7.056790113449097,3.337434768676758,1.1011743545532227
2,21.669623851776123,6.668607473373413,1.381486177444458,1.1027462482452393
3,19.47434663772583,6.865286111831665,1.2994177341461182,1.0366060733795166
4,20.41802954673767,6.746572732925415,1.355238437652588,1.0410597324371338
5,19.913660764694214,7.177957773208618,1.3185827732086182,1.0653865337371826
6,19.890722274780273,6.7299964427948,1.397169828414917,1.1224324703216553
7,20.07347583770752,8.671397686004639,1.304692268371582,1.0519251823425293
8,24.112257719039917,8.703032493591309,1.168616771697998,0.9385645389556885
9,25.080554485321045,10.043900966644287,1.2245197296142578,0.9608814716339111
10,26.661210298538208,11.357150554656982,1.0817551612854004,0.84403395652771
11,39.07549428939819,10.980462789535522,1.258779764175415,0.9166505336761475
12,34.32745981216431,10.567594766616821,1.1557917594909668,0.8835735321044922
13,30.937329292297363,11.539478778839111,1.3041086196899414,1.0118186473846436
14,25.190751791000366,8.932237386703491,1.1748385429382324,0.9182684421539307
15,24.85938000679016,7.998728275299072,1.1358885765075684,0.9579071998596191
16,49.78215456008911,7.722489356994629,1.324718952178955,1.0148754119873047
17,30.978026390075684,8.134374380111694,1.234168529510498,0.9603385925292969
18,22.244319200515747,7.827766180038452,1.3056681156158447,0.9619302749633789
19,37.62058210372925,8.867472887039185,1.159881830215454,0.9066040515899658
20,27.811793088912964,7.240866184234619,1.1251111030578613,0.8658974170684814
21,22.59419822692871,7.2045252323150635,1.18507981300354,0.9399738311767578
22,22.81697654724121,8.736511945724487,1.1343176364898682,0.8942670822143555
23,21.124037265777588,8.163702011108398,1.1958997249603271,0.9754500389099121
24,20.909659147262573,6.47854471206665,1.2288551330566406,0.9881894588470459
25,17.85861110687256,7.777403116226196,1.0811989307403564,0.8388791084289551
26,33.03211331367493,6.641093969345093,1.0684456825256348,0.856132984161377
27,24.617937803268433,7.766263246536255,1.2097198963165283,0.9433572292327881
28,19.168833017349243,8.232635736465454,1.3479607105255127,1.0649940967559814
29,20.261850357055664,7.138365268707275,1.1962833404541016,0.9300825595855713
30,18.77540373802185,6.266763925552368,1.342284917831421,1.065335988998413
31,26.899166584014893,7.0945494174957275,1.3704674243927002,0.9493668079376221
32,21.571779251098633,7.046866416931152,1.345341444015503,1.0185892581939697
33,21.521952152252197,8.146390438079834,1.283416509628296,1.0180168151855469
34,22.1549072265625,6.630434989929199,1.176821231842041,0.9351851940155029
35,23.52599573135376,8.236446857452393,1.0780928134918213,0.8331985473632812
36,19.790058374404907,7.251813650131226,1.2947747707366943,0.9581029415130615
37,20.880850076675415,8.532656908035278,1.2717878818511963,0.9971692562103271
38,21.664445877075195,7.085105657577515,1.1460261344909668,0.9751009941101074
39,23.716298580169678,8.287880897521973,1.232116937637329,0.9804322719573975
40,23.11365032196045,8.822706937789917,1.2181811332702637,0.9679276943206787
41,25.131405353546143,6.918779134750366,1.2238349914550781,0.9880263805389404
42,21.073267459869385,6.674998760223389,1.2675015926361084,1.01133131980896
43,21.063982009887695,8.114352464675903,1.2635548114776611,1.0150396823883057
44,21.62585997581482,7.032036542892456,1.3061628341674805,1.0382006168365479
45,20.773402214050293,7.601006507873535,1.1974875926971436,0.9462606906890869
46,19.36376690864563,7.271636486053467,1.1940464973449707,0.9363007545471191
47,18.868013381958008,6.917011976242065,1.3187623023986816,1.0500288009643555
48,143.59394788742065,7.41842246055603,1.2604403495788574,1.0007736682891846
49,22.02225971221924,7.663505554199219,1.1396315097808838,0.877979040145874
50,19.88052725791931,7.270013809204102,1.291229009628296,1.030022144317627
51,18.082574605941772,7.2638936042785645,1.319676399230957,1.0725018978118896
52,21.37786340713501,7.109982967376709,1.3489160537719727,1.0827889442443848
53,20.596707820892334,6.899367809295654,1.2405033111572266,0.9746191501617432
54,19.995601654052734,7.84653377532959,1.2599895000457764,0.9998257160186768
55,20.690776824951172,6.138400077819824,1.1756565570831299,0.9405677318572998
56,17.853856801986694,6.928830623626709,1.3736135959625244,1.0896110534667969
57,19.627560138702393,7.191384553909302,1.4096660614013672,1.1101500988006592
58,23.422748565673828,8.340725183486938,1.3671503067016602,1.0127756595611572
59,20.92727541923523,7.267375707626343,1.285557508468628,1.0193941593170166
60,18.92996048927307,7.45002293586731,1.2235817909240723,0.9835355281829834
61,20.21405339241028,7.664256811141968,1.240823745727539,0.9974215030670166
62,23.762554168701172,6.758972883224487,1.105931043624878,0.8785130977630615
63,22.577595472335815,7.920685291290283,1.2862036228179932,1.0393223762512207
